epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.998392,0,51.3688,0,0,0,0,0,0,12.2953,0,0,0,0
2,2.1644,0,92.2859,0,0,0,0,0,0,13.2997,0,9.901e-06,9.901e-06,9.901e-06
3,3.29447,0,52.7449,0,0,0,0,0,0,15.9107,0,1.9604e-05,1.9604e-05,1.9604e-05
4,4.46176,0,35.3005,0,0,0,0,0,0,21.6609,0,2.9109e-05,2.9109e-05,2.9109e-05
5,5.63704,0,48.6112,0,0,0,0,0,0,44.9464,0,3.8416e-05,3.8416e-05,3.8416e-05
6,6.79121,0,25.3338,0,0,0,0,0,0,54.0058,0,4.7525e-05,4.7525e-05,4.7525e-05
7,7.90986,0,23.0525,0,0,0,0,0,0,90.3101,0,5.6436e-05,5.6436e-05,5.6436e-05
8,9.38989,0,19.72,0,0,0,0,0,0,117.376,0,6.5149e-05,6.5149e-05,6.5149e-05
9,10.7793,0,18.9586,0,0,0,0,0,0,117.376,0,7.3664e-05,7.3664e-05,7.3664e-05
10,12.3799,0,17.85,0,0,0,0,0,0,159.715,0,8.1981e-05,8.1981e-05,8.1981e-05
11,13.8058,0,18.2594,0,0,0,0,0,0,159.715,0,9.01e-05,9.01e-05,9.01e-05
12,15.4475,0,18.6314,0,0,0,0,0,0,248.009,0,9.8021e-05,9.8021e-05,9.8021e-05
13,16.9161,0,15.9754,0,0,0,0,0,0,248.009,0,0.000105744,0.000105744,0.000105744
14,18.4357,0,15.2792,0,0,0,0,0,0,300.429,0,0.000113269,0.000113269,0.000113269
15,20.0475,0,14.5713,0,0,0,0,0,0,300.429,0,0.000120596,0.000120596,0.000120596
16,21.7191,0,14.1024,0,0,0,0,0,0,318.403,0,0.000127725,0.000127725,0.000127725
17,23.208,0,13.7873,0,0,0,0,0,0,318.403,0,0.000134656,0.000134656,0.000134656
18,24.9611,0,12.9379,0,0,0,0,0,0,385.419,0,0.000141389,0.000141389,0.000141389
19,26.5795,0,11.8961,0,0,0,0,0,0,385.419,0,0.000147924,0.000147924,0.000147924
20,28.3357,0,11.2196,0,0,0,0,0,0,498.517,0,0.000154261,0.000154261,0.000154261
21,29.9227,0,10.1107,0,0,0,0,0,0,498.517,0,0.0001604,0.0001604,0.0001604
22,31.5809,0,11.3754,0,0,0,0,0,0,441.287,0,0.000166341,0.000166341,0.000166341
23,33.2237,0,10.1193,0,0,0,0,0,0,441.287,0,0.000172084,0.000172084,0.000172084
24,34.9028,0,9.98013,0,0,0,0,0,0,441.287,0,0.000177629,0.000177629,0.000177629
25,36.6078,0,9.92866,0,0,0,0,0,0,187.297,0,0.000182976,0.000182976,0.000182976
26,38.1306,0,8.68764,0,0,0,0,0,0,187.297,0,0.000188125,0.000188125,0.000188125
27,39.7107,0,8.55296,0,0,0,0,0,0,187.297,0,0.000193076,0.000193076,0.000193076
28,41.2933,0,8.62399,0,0,0,0,0,0,80.1594,0,0.000197829,0.000197829,0.000197829
29,42.7826,0,7.40253,0,0,0,0,0,0,80.1594,0,0.000202384,0.000202384,0.000202384
